Activity Type,Heart Rate (BPM),Body Temperature (°C),Acceleration X (m/s²),Acceleration Y (m/s²),Acceleration Z (m/s²),Stressed State
walking,66.68166312481725,37.23685132109421,-0.6751782749743815,-1.907807557877391,-0.863493604964934,False
cycling,80.49012377310208,37.07015991587625,-0.14451867071551783,-0.8603850107795019,-0.031203488939083975,False
walking,70.65087506773177,36.5075673716301,-0.7924199209999613,-0.41360553342164424,0.018016872044446585,True
cycling,92.4278423328443,36.183343896161276,-0.3079615296390403,1.8876876573401904,0.47263034584340563,True
running,97.86789751881976,36.897489540207076,-1.8936146669537857,0.5565531245337582,-1.3668583632808264,True
walking,59.85524598174999,36.75187611431985,0.21329370737293857,-1.3354815690998914,0.5925672738473307,False
running,124.55035975170006,37.03544196731371,0.0012054753622242368,0.486036289417637,-2.704391631602775,True
cycling,90.06807344266812,36.716148405242784,-0.8170886310681906,-1.5473039889383655,-0.6298845523638104,True
running,95.79218896230098,36.97188410742114,0.6592456684324051,1.0826910538870733,-0.48827384245154465,False
running,107.81346401664614,36.183194525014756,0.9375701376265584,-0.4711246518178786,0.6333268260712385,True
running,95.07615356447032,37.0683058163009,-1.6075598643689741,-0.09363618873917084,0.02263085267686914,True
cycling,75.40129235410181,36.418958410210415,-0.7627247785662142,1.32579664754219,-1.4055630538562867,True
walking,65.30033878763466,37.21218254218286,-0.7691423497872982,-1.28716356858425,-0.9849931258170151,False
running,73.29463383371431,36.274951362130516,-0.9399031011088647,-1.3971181851129912,0.1986800095474069,True
walking,48.5475186883569,37.21259260113787,0.8294748419317485,-0.5835993263460049,-0.07906734186455629,False
cycling,76.45599782560492,36.755606304401915,-0.19382613877280352,1.0383788510193166,-0.5791241096357465,True
walking,55.27196735870879,36.24823194705442,-0.26451484131061076,-1.5193460754768424,-0.48083378951197936,False
running,109.84697317502219,36.21748824499222,-2.0038623644067535,-2.832155598110569,0.696167997159289,True
running,88.16831744635827,36.401468556384316,0.6354180302092264,-0.4511588584089988,-0.5176925728692147,False
running,81.91282587715637,36.75459629787233,-1.2392583948534726,0.5517407999109204,-0.08809124402907328,True
running,124.07040007997058,36.65124030772377,0.05993263026632825,1.2002617497388293,2.169936588080543,True
running,99.5643563277333,36.211652220667744,0.2773769379581917,-0.463161362085399,-1.423682636883923,False
running,104.50861221870821,36.38983882661536,1.360658595838651,-0.41142660711600243,-1.8518427315746586,True
cycling,61.572439463114634,37.636547979523044,-1.308820399119112,1.1539007342557472,0.7835896647986067,False
cycling,74.71791932091593,37.29224948987042,-3.0195121558208253,-1.8697416996954206,-0.6786430612941032,True
cycling,77.62062658917003,36.70849888121735,0.18384954475369486,-0.38852077518300926,-0.31823752774262026,False
walking,50.42342099798946,36.50502184718303,1.8005111815108537,0.19042388992505774,-0.7811563781311142,False
walking,71.224880490171,36.57217356341307,1.2389463529394373,0.44921872128503426,-0.2598001407675125,False
cycling,71.76318271383207,36.973014494476615,0.20965941527462578,-0.5098066931908826,1.5985381120963413,False
walking,62.35435220315773,35.964507659115206,-0.49163618563204736,0.03444101170584135,0.8021284586181193,False
